t;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0,1;15,87;15,66;15,83;70,03;226,83;225,96;226,19;0,0;0,0;0,0;24,5;22,67;22,86;0,0;wpisz
0,6;15,87;15,66;15,83;70,03;226,66;225,87;226,13;0,0;0,0;0,0;24,5;22,67;22,86;0,0;wpisz
1,7;15,87;15,66;15,83;70,03;226,82;225,93;226,2;0,0;0,0;0,0;24,5;22,67;22,86;0,0;wpisz
3,3;15,86;15,66;15,83;70,03;226,51;225,71;226,11;0,0;0,0;0,0;24,5;22,67;22,86;0,0;wpisz
4,9;15,85;15,64;15,83;70,03;226,47;225,57;226,04;0,0;0,0;0,0;24,5;22,67;22,86;0,0;wpisz
0,1;15,83;15,62;15,8;70,03;226,58;225,82;226,22;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
0,6;15,83;15,62;15,8;70,03;226,48;225,85;226,24;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
1,7;15,83;15,64;15,81;70,03;226,46;225,89;226,24;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
3,3;15,83;15,62;15,8;70,03;226,52;225,78;226,24;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
4,9;15,83;15,62;15,8;70,03;226,59;225,73;226,23;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
6,5;15,83;15,62;15,8;70,03;226,74;225,95;226,46;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
8,1;15,83;15,62;15,8;70,03;226,73;225,75;226,25;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
9,7;15,83;15,62;15,8;70,03;226,7;225,82;226,27;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
11,3;15,83;15,62;15,8;70,03;226,77;225,93;226,52;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
12,9;15,82;15,62;15,79;70,03;226,83;225,93;226,51;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
14,5;15,82;15,62;15,78;70,03;226,69;225,98;226,48;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
16,1;15,81;15,61;15,78;70,03;226,56;225,92;226,38;0,0;0,0;0,0;24,5;22,67;22,86;0,0;6
17,7;15,81;15,61;15,78;70,03;226,56;225,71;226,19;0,03;0,0;0,0;24,5;22,67;22,86;0,0;6
19,3;15,8;15,61;15,78;70,03;226,23;225,49;225,91;0,03;0,0;0,0;24,5;22,67;22,86;0,0;6
20,9;15,8;15,61;15,78;70,03;226,15;225,36;225,87;0,06;0,0;0,0;24,5;22,67;22,86;0,0;6
22,5;15,8;15,61;15,77;70,03;226,22;225,44;225,98;0,06;0,0;0,0;24,5;22,67;22,86;0,0;6
24,1;15,8;15,61;15,77;70,03;226,23;225,34;225,9;0,06;0,0;0,0;24,5;22,67;22,86;3076,37;6
25,7;15,79;15,61;15,76;70,03;226,15;225,38;225,88;0,05;0,0;0,0;24,5;22,67;22,86;0,0;6
27,3;15,79;15,61;15,76;70,04;224,94;223,99;224,68;25,55;25,55;25,7;24,5;22,68;22,86;11146,18;6
28,9;15,79;15,61;15,76;70,05;223,99;223,03;223,66;50,41;50,16;50,22;24,51;22,68;22,86;11179,54;6
30,5;15,79;15,62;15,75;70,06;223,77;222,93;223,53;50,29;50,04;50,11;24,51;22,68;22,87;11159,56;6
